a,b,c,a_plus_b,b_plus_c,c_plus_a,period,pre_period,bit_period,pre_bit_period,comment
1,2,3,3,5,5,4,0,4,0,"周期4系。0:非0=1:3。■公差1の等差数列"
1,2,4,3,6,5,3,0,3,0,"a+b=3。 a+b というのは動くcがないので定数 3 と考えていい。 {1. *. *} の段では九九は {1. b. b} になるから成立しない残念。 コンマの変わりにドット打つので注意"
1,2,6,3,8,7,7,0,7,0,"c+a。 c が3の倍数なら c+a か？ ★ {a=1. b=2. c=3n} のとき、周期3n+1 は既出。 c+a(mod 3)==1 なら c+a は周期と言えるか？"
1,2,8,3,10,9,3,0,3,0,"a+b。　なんか a+b は 3 だし、 c+a は 3n+1 だし、その２種類だけな気がするな"
1,2,10,3,12,11,3,0,3,0,"a+b"
1,2,12,3,14,13,13,0,13,0,"c+a=13。 13は素数。 c が3の倍数"
1,2,14,3,16,15,3,0,3,0,"a+b"
1,2,16,3,18,17,3,0,3,0,"a+b"
1,2,18,3,20,19,19,0,19,0,"c+a=19。 19は素数。 c が3の倍数"
1,2,20,3,22,21,3,0,3,0,"a+b。 {1. 2. 2n} は aca aca aca のように見える"
1,2,22,3,24,23,3,0,3,0,"a+b"
1,2,24,3,26,25,25,0,25,0,"c+a=25。 25は素数ではない。 cが3の倍数"
1,2,26,3,28,27,-1
1,2,28,3,30,29,3,0,3,0,"a+b"
1,2,30,3,32,31,31,0,31,0,"c+a=31。 31は素数。 c が3の倍数"
1,2,32,3,34,33,-1
1,2,34,3,36,35,-1
1,2,36,3,38,37,37,0,37,0,"c+a=37。 37は素数。 c が3の倍数"
1,2,38,3,40,39,-1
1,2,40,3,42,41,-1
1,2,42,3,44,43,43,0,43,0,"c+a=43。 37は素数。 c が3の倍数。 {a=1. b=2. c=3n} のとき、周期3n+1で、『3n+1型の素数』というものがあるらしい"
1,2,44,3,46,45,-1
1,2,46,3,48,47,-1
1,2,48,3,50,49,-1
1,2,50,3,52,51,-1
1,3,5,4,8,6,2,0,2,0,"周期2 [全奇数]"
1,3,6,4,9,7,9,0,9,0,"b+c。 b+cは（c+aも） c<周期 のケースでよく見かける。 cが3の倍数なのは変則的か？っていうかbnが3の倍数になる。 なんか {1. 3. *} の段は いわゆるあの定数a+bが来ないな"
1,3,9,4,12,10,2,0,2,0,"周期2系。交互系か？ {1. 奇. 奇}?"
1,3,12,4,15,13,15,0,15,0,"b+c"
1,3,15,4,18,16,2,0,2,0,"周期2系。交互系か？ {1. 奇. 奇}?"
1,3,18,4,21,19,21,0,21,0,"b+c"
1,3,21,4,24,22,2,0,2,0,"周期2系。交互系か？ {1. 奇. 奇}?"
1,3,24,4,27,25,27,0,27,0,"b+c"
1,3,27,4,30,28,2,0,2,0,"周期2系。交互系か？ {1. 奇. 奇}?"
1,3,30,4,33,31,33,0,33,0,"b+c。 {1. 3. 3n} は b+c と 2 が交互にくるように見える"
1,4,7,5,11,8,8,0,8,0,"p=c+a=8 [oeo] [♪Cdim]"
1,4,8,5,12,9,12,0,12,0,"b+c=12 [♪Cm]"
1,4,12,5,16,13,13,0,13,0,"c+a。 c が3の倍数"
1,4,16,5,20,17,5,0,5,0,"a+b。いわゆる あの定数。 {1. 4. *} の段では 5"
